index,case:concept:name,activity,type
618,DF14507000322_00100,"[14, 9, 19, 41, 20, 19, 13, 41, 20, 9, 19, 41, 40, 13, 20, 2, 13, 20, 13, 20, 25, 13]",DF1
554,DF12000052902_00001,"[29, 28, 26, 31, 35, 33, 14, 27, 41, 19, 20]",DF1
2769,DF14507032599_00001,"[14, 19, 19, 19, 19, 19, 21, 21, 21, 21, 21, 21]",DF1
5177,DF14508073958_00001,"[14, 19, 19, 21, 21, 19, 21, 1]",DF1
4614,DF14508063952_00001,"[14, 21, 21, 21, 19, 21, 21, 21, 21, 19, 19, 21, 21, 21, 19, 1, 21, 21, 21, 19, 21, 21, 19, 19, 21, 21, 19, 41, 20, 13]",DF1
4053,DF14508054920_00001,"[14, 21, 21, 21, 21, 21, 19, 21, 21, 21, 21, 21, 21, 21, 21, 19, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 19]",DF1
749,DF14507001320_00001,"[14, 21, 21, 21, 21, 21, 21, 21, 19, 19, 21, 21, 21, 19, 19, 41, 20, 13]",DF1
3643,DF14508046799_00001,"[14, 21, 21, 21, 21, 19, 21, 21, 21, 21, 21, 21, 21, 21, 19, 21, 21, 21, 21, 21, 21, 21, 21, 21, 19, 21, 21, 21, 21, 21, 19]",DF1
1423,DF14507010232_00040,"[14, 41, 40, 19, 20, 2, 13, 20, 25, 13]",DF1
3875,DF14508051545_00001,"[14, 21, 21, 21, 21, 21, 21, 19]",DF1
1003,DF14507004249_00001,"[14, 21, 21, 21, 21, 21, 21, 21, 19, 21, 21, 21, 19, 19, 21, 21, 19, 41, 20, 13]",DF1
2774,DF14507032791_00001,"[14, 19, 19, 19, 19, 21, 21, 21, 21, 19, 19, 19, 19, 19, 19, 19, 19, 21, 21, 21, 21, 21, 21, 21, 21, 21, 19, 19, 19, 19, 19, 19, 19, 19, 21, 21, 21, 21, 21, 21, 21, 21, 19, 19, 19, 19, 19, 19, 19, 21, 21, 21, 21, 21, 21, 21, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 19, 19, 21, 21, 21, 21, 19, 19, 19, 19, 19, 19, 21, 21, 21, 21, 21, 21, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 19, 19, 19, 19, 19, 19, 21, 21, 21, 21, 21, 21, 21, 19, 19, 19, 19, 21, 21, 21, 21, 19, 19, 19, 19, 19, 19, 19, 19, 21, 21, 21, 21, 21, 21, 21, 21, 19, 19, 19, 19, 21, 21, 21, 21, 19, 19, 19, 19, 19, 19, 19, 19, 19, 21, 21, 21, 21, 21, 21, 21, 21, 21, 19, 19, 19, 19, 19, 19, 21, 21, 21, 21, 21, 21, 19, 19, 19, 19, 19, 19, 19, 19, 21, 21, 21, 21, 21, 21, 21, 21, 19, 19, 19, 19, 21, 21, 21, 21, 19, 19, 19, 19, 21, 21, 21, 21, 19, 19, 19, 19, 19, 19, 19, 19, 21, 21, 21, 21, 21, 21, 21, 21, 41, 20, 13]",DF1
4337,DF14508059067_00040,"[14, 41, 19, 41, 20, 25, 20, 25, 13, 13]",DF1
4425,DF14508060693_00001,"[14, 19, 19, 19, 21, 21, 21, 1]",DF1
3426,DF14508043543_00001,"[14, 21, 21, 19, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 19, 19, 19, 19, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 19, 19, 21, 21, 21, 21, 21, 21, 21, 19, 19, 21, 21, 21, 21, 21, 21, 21, 21, 21, 19, 19, 19, 19, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 19, 19, 19, 19, 19, 21, 21, 21, 21, 21, 21, 21, 19, 19, 19, 21, 21, 21, 21, 21, 21, 21, 21, 19, 19, 21, 21, 21, 21, 21, 21, 21, 19, 19, 19, 21, 21, 21, 21, 21, 19, 19, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 19, 19, 19, 21, 21, 21, 21, 21, 19, 19, 21, 21, 21, 21, 21, 21, 21, 19, 19, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 19, 19, 19, 19, 21, 21, 21, 21, 21, 19, 19, 19, 21, 21, 21, 21, 21, 21, 19, 19, 19, 19, 21, 21, 21, 21, 19, 21, 21, 21, 21, 19, 21, 21, 21, 21, 19, 19, 21, 21, 21, 19]",DF1
10459,DF24507019651_00010,"[14, 8, 9, 19, 41, 41, 20, 13, 20, 25, 13]",DF2
16962,DF24508053153_00110,"[15, 14, 19, 41, 20, 40, 2, 13]",DF2
21253,DF24508071661_00010,"[14, 18, 41, 19, 20, 9, 6, 19]",DF2
11363,DF24507023045_00200,"[14, 4, 41, 40, 9, 19, 8, 20, 2, 13, 20, 13]",DF2
12591,DF24507028301_00150,"[14, 41, 19, 41, 19, 20, 20, 13]",DF2
7938,DF24507008437_00010,"[15, 14, 40, 41, 20, 2, 20, 19, 25, 13, 13]",DF2
6623,DF24507002811_00090,"[14, 19, 41, 19, 8, 41, 20, 13, 20, 25, 13]",DF2
20073,DF24508062983_00070,"[14, 8, 9, 41, 9, 19, 20, 13]",DF2
5386,DF22000000139_00001,"[29, 28, 26, 31, 33, 35, 27, 14, 41, 19, 20, 13]",DF2
20695,DF24508066629_00040,"[14, 40, 41, 41, 20, 19, 9, 6, 9, 2, 13, 20]",DF2
12534,DF24507027981_00010,"[14, 18, 19, 41, 20, 40, 3, 25, 13]",DF2
8946,DF24507013223_00070,"[14, 19, 41, 20, 41, 19, 13, 20, 8, 25, 13]",DF2
8899,DF24507012918_00070,"[14, 19, 20, 41, 20, 25, 41, 13, 20, 2, 40, 25, 13]",DF2
20715,DF24508066763_00050,"[15, 14, 9, 41, 19, 9, 6, 20]",DF2
15933,DF24508046366_00220,"[14, 41, 19, 19, 19, 19, 20, 13]",DF2
11173,DF24507022405_00040,"[14, 19, 41, 40, 20, 2, 13, 20, 25, 13]",DF2
19265,DF24508059652_00040,"[14, 16, 17, 8, 9, 41, 9, 19, 20, 13]",DF2
7494,DF24507007244_00010,"[14, 19, 41, 20, 8, 25, 13, 2]",DF2
10159,DF24507018531_00130,"[14, 19, 19, 1, 41, 9, 20, 25, 13]",DF2
17455,DF24508054253_01050,"[15, 14, 4, 18, 19, 41, 20, 13]",DF2
13188,DF24507031547_00050,"[14, 19, 41, 20, 19, 41, 20, 25, 13]",DF2
13932,DF24507035555_00010,"[14, 19, 9, 6, 19, 41, 20, 13]",DF2
6536,DF24507002490_00070,"[14, 41, 40, 19, 20, 2, 13, 20, 13]",DF2
6727,DF24507003370_00050,"[14, 41, 19, 41, 20, 20, 25, 13, 13]",DF2
13836,DF24507034995_00010,"[14, 9, 9, 19, 41, 9, 9, 41, 19, 41, 9, 9, 19, 9, 6, 41, 19, 20, 20, 20, 20, 13, 13]",DF2
14971,DF24507041246_00010,"[14, 41, 19, 19, 41, 20, 20, 13, 13]",DF2
7936,DF24507008433_00040,"[14, 19, 41, 40, 20, 25, 13, 2, 20, 13, 8]",DF2
17810,DF24508054935_00130,"[14, 23, 4, 23, 4, 23, 4, 9, 19]",DF2
6600,DF24507002689_00030,"[14, 41, 19, 41, 40, 20, 20, 13, 2, 13, 8]",DF2
12066,DF24507025691_00040,"[14, 41, 19, 20, 41, 19, 20, 13, 13]",DF2
11375,DF24507023045_00350,"[14, 4, 41, 9, 19, 8, 20, 13]",DF2
19158,DF24508059281_00020,"[15, 14, 18, 41, 19, 20, 25, 13]",DF2
19505,DF24508060660_00010,"[15, 14, 9, 19, 1, 19, 41, 20]",DF2
10097,DF24507018248_00020,"[14, 19, 40, 41, 20, 2, 13, 20, 25, 13]",DF2
19526,DF24508060752_00130,"[15, 14, 18, 19, 19, 41, 20, 13]",DF2
6169,DF24507000428_00020,"[14, 19, 41, 19, 41, 20, 20, 25, 13]",DF2
12825,DF24507029766_00030,"[14, 41, 19, 20, 41, 20, 19, 25, 13]",DF2
17060,DF24508053649_00030,"[15, 14, 18, 19, 41, 20, 25, 13]",DF2
15354,DF24508043027_00220,"[14, 41, 40, 19, 20, 2, 13, 20, 13]",DF2
7645,DF24507007557_00040,"[14, 41, 9, 41, 19, 20, 9, 6, 19, 20, 13]",DF2
13843,DF24507035016_00030,"[14, 9, 19, 41, 19, 41, 20, 13, 20, 13]",DF2
11348,DF24507023045_00010,"[14, 4, 9, 41, 19, 20, 13, 41, 20]",DF2
19003,DF24508058836_00020,"[15, 14, 41, 19, 20, 8, 25, 13]",DF2
17006,DF24508053317_00250,"[15, 14, 41, 19, 41, 19, 20, 20, 13, 41, 19, 20, 13]",DF2
16025,DF24508046832_00050,"[14, 41, 20, 19, 25, 41, 19, 20, 13]",DF2
6385,DF24507001804_00010,"[14, 41, 40, 19, 20, 13, 2, 20, 13]",DF2
18817,DF24508058382_00130,"[15, 14, 40, 41, 19, 20, 2, 13, 20, 25, 13]",DF2
11307,DF24507022856_00160,"[14, 40, 41, 20, 19, 20, 2, 13, 25, 13]",DF2
6101,DF22000052931_00002,"[29, 28, 26, 31, 33, 35, 27, 14, 41, 20]",DF2
13626,DF24507033684_00020,"[14, 18, 19, 41, 40, 20, 2, 13]",DF2
5991,DF22000052801_00002,"[29, 28, 26, 31, 33, 35, 27, 14, 19, 41, 20, 13]",DF2
15370,DF24508043027_00390,"[14, 40, 41, 19, 20, 2, 13, 20, 13]",DF2
10260,DF24507018930_00060,"[14, 9, 9, 9, 19, 41, 20, 13]",DF2
18877,DF24508058413_00170,"[15, 14, 18, 19, 41, 20, 25, 13]",DF2
5638,DF22000013613_00001,"[29, 28, 26, 31, 35, 33, 27, 14, 40, 41, 20, 19, 25, 13, 2, 20, 13]",DF2
15926,DF24508046294_00010,"[15, 14, 9, 9, 41, 19, 20, 13]",DF2
14443,DF24507038554_00010,"[15, 14, 8, 9, 41, 19, 1, 19, 41, 19, 20, 20, 13]",DF2
6063,DF22000052885_00003,"[29, 28, 26, 31, 33, 35, 27, 14, 41, 19, 20]",DF2
5315,DF22000000054_00001,"[29, 28, 26, 31, 33, 35, 27, 14, 20, 41, 19, 25, 13]",DF2
13225,DF24507031672_00010,"[14, 18, 41, 40, 19, 20, 13, 2, 20, 13]",DF2
13275,DF24507031904_00360,"[14, 41, 20, 25, 6, 40, 2, 13, 13]",DF2
5744,DF22000033500_00003,"[29, 28, 26, 31, 33, 35, 27, 14, 41, 19, 20, 13]",DF2
8047,DF24507008938_00030,"[14, 41, 19, 20, 40, 25, 13, 2, 13, 20]",DF2
11067,DF24507021942_00010,"[14, 9, 1, 40, 2, 25, 13, 20]",DF2
12956,DF24507030313_00010,"[14, 19, 41, 41, 20, 20, 8, 25, 25, 13]",DF2
7275,DF24507006098_00090,"[14, 41, 19, 41, 20, 20, 25, 25, 13, 2]",DF2
17908,DF24508055208_00100,"[15, 14, 8, 41, 19, 20, 25, 13]",DF2
9579,DF24507016379_00170,"[14, 4, 18, 41, 19, 20, 25, 13]",DF2
15411,DF24508043256_00120,"[14, 19, 41, 40, 20, 2, 13, 20, 25, 13]",DF2
6132,DF24507000263_00010,"[14, 41, 9, 19, 19, 19, 19, 19, 19, 19, 20, 13]",DF2
9918,DF24507017309_00020,"[14, 41, 40, 20, 19, 2, 20, 25, 13, 13]",DF2
9670,DF24507016719_00170,"[14, 23, 4, 23, 4, 23, 4, 23, 4, 41, 19, 20, 25, 13]",DF2
17398,DF24508054253_00480,"[15, 14, 4, 18, 19, 41, 20, 13]",DF2
18362,DF24508056883_00010,"[14, 19, 41, 20, 19, 41, 20, 13, 13]",DF2
14353,DF24507038156_00110,"[14, 41, 19, 19, 41, 20, 25, 13, 20, 13]",DF2
14408,DF24507038409_00080,"[14, 40, 41, 19, 20, 2, 13, 20, 13]",DF2
13053,DF24507030911_00200,"[14, 41, 40, 19, 20, 2, 20, 13, 13]",DF2
15633,DF24508044794_00150,"[14, 41, 19, 19, 20, 41, 19, 13, 20, 13]",DF2
16283,DF24508048798_00010,"[15, 14, 19, 41, 41, 20, 13, 13]",DF2
16481,DF24508050094_00010,"[14, 41, 19, 9, 9, 20, 41, 19, 20, 13]",DF2
20693,DF24508066622_00150,"[15, 14, 18, 19, 19, 41, 20, 20]",DF2
17779,DF24508054833_00090,"[15, 14, 19, 41, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 9, 6, 19, 20, 13]",DF2
7587,DF24507007305_00030,"[14, 19, 41, 19, 41, 20, 20, 20, 25, 13]",DF2
7212,DF24507005739_00030,"[14, 19, 19, 19, 1, 1, 1, 19, 19, 19, 6]",DF2
8773,DF24507012490_00170,"[14, 4, 8, 9, 19, 41, 20, 13]",DF2
10726,DF24507020848_00110,"[14, 19, 19, 19, 19, 41, 20, 19, 25, 13]",DF2
19756,DF24508061412_00030,"[15, 14, 9, 9, 9, 9, 41, 19, 20]",DF2
10993,DF24507021757_00050,"[14, 19, 41, 9, 9, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 9, 9, 6, 20, 9, 19, 25, 41, 20, 13]",DF2
5559,DF22000013506_00002,"[29, 28, 26, 31, 33, 35, 27, 14, 41, 19, 20, 13]",DF2
18446,DF24508057188_00010,"[14, 19, 41, 20, 13, 20, 25, 13]",DF2
18444,DF24508057173_00120,"[15, 14, 41, 19, 6, 40, 20, 2, 25, 13, 13]",DF2
17581,DF24508054263_00030,"[15, 14, 18, 19, 41, 20, 25, 13]",DF2
8855,DF24507012777_00180,"[14, 4, 41, 19, 1, 23, 4, 20, 25, 13]",DF2
15645,DF24508044849_00090,"[14, 18, 19, 19, 41, 20, 20, 25, 13]",DF2
16321,DF24508049119_00010,"[14, 18, 19, 41, 19, 20, 20, 25, 13]",DF2
9539,DF24507016330_00020,"[14, 19, 41, 40, 20, 2, 13, 20, 13]",DF2
20653,DF24508066298_00010,"[15, 14, 18, 19, 41, 41, 19, 20, 20, 25]",DF2
20425,DF24508064763_00180,"[15, 14, 41, 19, 6, 20, 40, 3, 25, 13, 13]",DF2
20203,DF24508063371_00010,"[15, 14, 41, 19, 1, 19, 6, 40, 20, 25, 2]",DF2
16700,DF24508051439_00010,"[14, 40, 41, 19, 41, 20, 20, 2, 13, 13]",DF2
21433,DF34507076022_00050,"[4, 4, 4, 41, 4, 14, 4, 8, 20, 13, 4, 4]",DF3
21540,DF34508076155_00020,"[41, 14, 4, 20, 13, 4, 4, 4, 4]",DF3
21566,DF34508076170_00030,"[4, 41, 4, 14, 4, 20, 13, 4, 4]",DF3
21474,DF34507076137_00020,"[4, 41, 4, 14, 4, 20, 13, 4, 4, 4, 4]",DF3
21430,DF34507076022_00020,"[41, 14, 4, 20, 13, 4, 4, 4, 4, 4, 4]",DF3
21447,DF34507076129_00010,"[41, 14, 4, 20, 13, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",DF3
21499,DF34507076142_00090,"[4, 4, 4, 4, 4, 4, 4, 41, 4, 14, 4, 20, 4, 4]",DF3
21411,DF34507075968_00060,"[4, 4, 4, 4, 4, 41, 4, 14, 4, 20, 13, 4, 4, 4, 4]",DF3
21475,DF34507076137_00030,"[4, 4, 4, 41, 4, 14, 4, 20, 13, 4, 4]",DF3
21412,DF34507075968_00070,"[4, 4, 4, 4, 4, 4, 4, 41, 4, 14, 4, 20, 4, 4]",DF3
21483,DF34507076139_00060,"[4, 4, 4, 4, 4, 41, 4, 14, 4, 20, 4, 4, 4, 4, 4, 4, 4, 4]",DF3
21468,DF34507076129_00220,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 41, 4, 14, 4, 20]",DF3
21473,DF34507076137_00010,"[41, 14, 4, 20, 13, 4, 4, 4, 4, 4, 4]",DF3
21535,DF34507076150_00220,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 41, 4, 14, 4, 20]",DF3
21416,DF34507075969_00020,"[41, 4, 4, 14, 4, 20, 4, 4, 13]",DF3
21409,DF34507075968_00040,"[4, 4, 4, 4, 4, 41, 14, 20, 13, 4, 4, 4, 4, 4, 4]",DF3
21512,DF34507076145_00080,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 41, 4, 14, 4, 20, 4, 4]",DF3
21484,DF34507076139_00070,"[4, 4, 4, 4, 4, 4, 4, 41, 4, 14, 4, 20, 4, 4, 4, 4, 4, 4]",DF3
21443,DF34507076029_00040,"[4, 4, 4, 4, 4, 41, 4, 14, 4, 20, 4, 4]",DF3
21405,DF34507075967_00040,"[4, 4, 4, 4, 14, 4, 41, 20, 13]",DF3
21521,DF34507076150_00080,"[4, 4, 4, 41, 4, 14, 4, 20, 4, 4, 4, 4, 4, 4, 4, 4]",DF3
21449,DF34507076129_00030,"[41, 14, 4, 20, 13, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",DF3
21398,DF34507075966_00080,"[4, 4, 4, 4, 4, 41, 14, 20, 13, 4, 4]",DF3
21527,DF34507076150_00140,"[4, 4, 4, 4, 4, 4, 4, 4, 14, 4, 20, 41, 38, 4, 4, 4, 4]",DF3
21421,DF34507075970_00030,"[4, 4, 4, 41, 4, 14, 4, 20]",DF3
21551,DF34508076155_00130,"[4, 4, 4, 4, 14, 4, 20, 41, 13]",DF3
21546,DF34508076155_00080,"[4, 41, 4, 14, 4, 20, 13, 4, 4]",DF3
21472,DF34507076136_00030,"[4, 4, 4, 41, 4, 14, 4, 20, 13]",DF3
21393,DF34507075966_00030,"[4, 4, 14, 4, 41, 20, 13, 4, 4, 4, 4]",DF3
21394,DF34507075966_00040,"[4, 4, 14, 4, 41, 20, 13, 4, 4, 4, 4]",DF3
21515,DF34507076150_00020,"[41, 14, 4, 20, 13, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",DF3
21555,DF34508076157_00030,"[4, 4, 4, 41, 4, 4, 14, 20, 4, 4]",DF3
21460,DF34507076129_00140,"[4, 4, 4, 4, 4, 41, 4, 14, 4, 20, 4, 4, 13, 4, 4]",DF3
21533,DF34507076150_00200,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 14, 4, 41, 20, 38, 4, 4]",DF3
21441,DF34507076029_00020,"[4, 41, 4, 14, 4, 20, 8, 4, 4, 4, 4, 4, 4]",DF3
21554,DF34508076157_00020,"[4, 41, 4, 14, 4, 20, 4, 4, 4, 4]",DF3
21452,DF34507076129_00060,"[4, 41, 4, 14, 4, 20, 13, 4, 4, 4, 4, 4, 4, 4, 4]",DF3
21497,DF34507076142_00070,"[4, 4, 4, 4, 4, 41, 4, 14, 4, 20, 4, 4, 4, 4]",DF3
21437,DF34507076026_00020,"[4, 41, 4, 14, 4, 20, 13, 4, 4]",DF3
21467,DF34507076129_00210,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 14, 41, 20, 4, 4, 13]",DF3
21407,DF34507075968_00020,"[4, 41, 4, 14, 4, 20, 13, 4, 4, 4, 4, 4, 4, 4, 4]",DF3
21466,DF34507076129_00200,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 41, 14, 20, 13, 4, 4]",DF3
21581,DF34508076217_00010,"[41, 14, 4, 20, 13, 4, 4, 4, 4]",DF3
21489,DF34507076141_00020,"[4, 41, 4, 14, 4, 20, 4, 4]",DF3
21442,DF34507076029_00030,"[4, 4, 4, 40, 41, 4, 14, 4, 20, 2, 13, 20, 4, 4, 4, 4]",DF3
21458,DF34507076129_00120,"[4, 4, 4, 4, 4, 41, 4, 14, 4, 20, 4, 4, 13, 4, 4]",DF3
21547,DF34508076155_00090,"[4, 41, 4, 14, 4, 20, 13, 4, 4]",DF3
21564,DF34508076170_00010,"[41, 14, 4, 20, 13, 4, 4, 4, 4]",DF3
21454,DF34507076129_00080,"[4, 4, 4, 4, 14, 4, 41, 20, 4, 4, 13, 4, 4, 4, 4]",DF3
21392,DF34507075966_00020,"[41, 14, 4, 20, 13, 4, 4, 4, 4, 4, 4]",DF3
21487,DF34507076139_00100,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 41, 4, 14, 4, 20]",DF3
21580,DF34508076208_00050,"[4, 4, 4, 41, 4, 14, 4, 20, 13]",DF3
21562,DF34508076169_00020,"[41, 4, 4, 14, 4, 20, 13, 4, 4]",DF3
21501,DF34507076142_00110,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 41, 4, 14, 4, 20]",DF3
21410,DF34507075968_00050,"[4, 4, 4, 4, 4, 41, 14, 20, 13, 4, 4, 4, 4, 4, 4]",DF3
21402,DF34507075967_00010,"[14, 4, 41, 20, 4, 4, 4, 4, 13]",DF3
21450,DF34507076129_00040,"[41, 4, 4, 14, 4, 20, 13, 4, 4, 4, 4, 4, 4, 4, 4]",DF3
21470,DF34507076136_00010,"[41, 14, 4, 20, 13, 4, 4, 4, 4]",DF3
21464,DF34507076129_00180,"[4, 4, 4, 4, 4, 4, 4, 41, 14, 20, 4, 4, 13, 4, 4]",DF3
21414,DF34507075968_00090,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 41, 4, 14, 4, 20]",DF3
21511,DF34507076145_00070,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 41, 4, 14, 4, 20, 4, 4, 4, 4]",DF3
21436,DF34507076026_00010,"[41, 14, 4, 20, 13, 4, 4, 4, 4]",DF3
21531,DF34507076150_00180,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 14, 4, 41, 20, 38, 4, 4]",DF3
21492,DF34507076142_00020,"[14, 4, 41, 4, 4, 4, 4, 20, 13, 4, 4, 4, 4, 4, 4]",DF3
21556,DF34508076157_00040,"[4, 4, 4, 4, 4, 41, 4, 14, 4, 20]",DF3
21482,DF34507076139_00050,"[4, 4, 4, 4, 41, 14, 4, 20, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",DF3
21431,DF34507076022_00030,"[4, 41, 14, 4, 4, 20, 13, 4, 4, 4, 4]",DF3
21573,DF34508076207_00020,"[4, 4, 14, 4, 20, 41, 4, 4]",DF3
21481,DF34507076139_00040,"[4, 4, 4, 41, 4, 14, 4, 4, 4, 20, 13, 4, 4, 4, 4, 4, 4, 4, 4]",DF3
21476,DF34507076137_00040,"[4, 4, 4, 4, 4, 41, 14, 20, 13, 4, 4]",DF3
21572,DF34508076207_00010,"[41, 14, 4, 20, 13, 4, 4, 4, 4]",DF3
21502,DF34507076142_00120,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 41, 4, 14, 4, 20, 13]",DF3
21507,DF34507076145_00030,"[4, 4, 4, 41, 4, 14, 4, 20, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",DF3
21498,DF34507076142_00080,"[4, 4, 4, 4, 4, 41, 4, 14, 4, 20, 13, 4, 4, 4, 4]",DF3
21488,DF34507076141_00010,"[14, 4, 20, 4, 4, 13, 41, 4, 4]",DF3
21389,DF34507075965_00010,"[40, 41, 14, 4, 20, 2, 13, 20, 13]",DF3
21561,DF34508076169_00010,"[41, 14, 4, 20, 13, 4, 4, 4, 4]",DF3
21406,DF34507075968_00010,"[41, 14, 4, 20, 13, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",DF3
21494,DF34507076142_00040,"[4, 4, 14, 4, 4, 4, 4, 4, 4, 4, 4, 4]",DF3
21541,DF34508076155_00030,"[41, 14, 4, 20, 13, 4, 4, 4, 4]",DF3
21565,DF34508076170_00020,"[41, 14, 4, 20, 13, 4, 4, 4, 4]",DF3
21557,DF34508076162_00010,"[41, 40, 14, 4, 4, 8, 4, 20, 2, 13, 20, 13]",DF3
21477,DF34507076137_00050,"[4, 4, 4, 4, 4, 41, 4, 14, 4, 20]",DF3
21545,DF34508076155_00070,"[41, 14, 4, 20, 4, 4, 13, 4, 4]",DF3
21491,DF34507076142_00010,"[14, 4, 41, 4, 4, 4, 4, 20, 4, 4, 4, 4, 4, 4]",DF3
21444,DF34507076029_00050,"[4, 4, 4, 4, 4, 4, 4, 41, 4, 14, 4, 20]",DF3
21509,DF34507076145_00050,"[4, 4, 4, 4, 4, 4, 4, 41, 4, 14, 4, 20, 25, 4, 4, 4, 4, 4, 4, 4, 4]",DF3
21574,DF34508076207_00030,"[4, 4, 4, 41, 4, 14, 4, 20]",DF3
21423,DF34507075973_00020,"[4, 41, 4, 14, 4, 8, 20, 13, 4, 4, 4, 4]",DF3
21390,DF34507075965_00020,"[41, 40, 14, 4, 20, 2, 13, 20, 13]",DF3
21418,DF34507075969_00040,"[41, 4, 4, 4, 4, 14, 4, 20, 13]",DF3
21579,DF34508076208_00040,"[4, 4, 4, 41, 4, 14, 4, 20]",DF3
21455,DF34507076129_00090,"[4, 4, 4, 4, 4, 41, 4, 14, 4, 20, 4, 4, 13, 4, 4]",DF3
21548,DF34508076155_00100,"[4, 41, 4, 14, 4, 20, 13, 4, 4]",DF3
21577,DF34508076208_00020,"[4, 41, 4, 14, 4, 20, 4, 4]",DF3
21391,DF34507075966_00010,"[41, 14, 4, 20, 13, 4, 4, 4, 4, 4, 4]",DF3
21408,DF34507075968_00030,"[4, 4, 4, 41, 4, 14, 4, 20, 13, 4, 4, 4, 4, 4, 4]",DF3
21451,DF34507076129_00050,"[41, 4, 4, 14, 4, 20, 13, 4, 4, 4, 4, 4, 4, 4, 4]",DF3
21438,DF34507076026_00030,"[4, 4, 4, 41, 4, 14, 4, 20]",DF3
21453,DF34507076129_00070,"[4, 41, 4, 14, 4, 20, 4, 4, 13, 4, 4, 4, 4, 4, 4]",DF3
21585,DF44507000967_00080,"[14, 19, 1, 6, 6, 9, 9, 9, 19]",DF4
21586,DF44507005732_00020,"[14, 19, 19, 19, 19, 19, 19, 19]",DF4
21587,DF44507005739_00030,"[14, 19, 19, 19, 1, 1, 1, 19, 19, 19, 6]",DF4
21588,DF44507008895_00010,"[14, 19, 19, 19, 19, 19, 19, 19, 19, 19]",DF4
21589,DF44507008896_00020,"[14, 19, 19, 1, 19, 1, 1, 6]",DF4
21590,DF44507011902_00010,"[14, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19]",DF4
21591,DF44507011907_00010,"[14, 19, 19, 19, 19, 19, 19, 19, 1]",DF4
21592,DF44507011908_00020,"[14, 19, 19, 19, 19, 19, 19, 19]",DF4
21593,DF44507013330_00010,"[14, 19, 19, 19, 19, 19, 19, 1]",DF4
21594,DF44507015105_00010,"[14, 19, 9, 9, 19, 19, 9, 19]",DF4
21595,DF44507015147_00010,"[14, 19, 19, 19, 19, 19, 9, 19]",DF4
21596,DF44507015154_00010,"[14, 19, 19, 19, 19, 19, 19, 19]",DF4
21597,DF44507015154_00050,"[14, 19, 19, 9, 19, 9, 6, 19]",DF4
21598,DF44507015157_00040,"[14, 19, 9, 19, 19, 9, 6, 9, 19]",DF4
21599,DF44507016031_00100,"[14, 19, 19, 9, 6, 1, 19, 19]",DF4
21600,DF44507016313_00020,"[14, 19, 19, 19, 19, 19, 19, 19, 19, 19]",DF4
21601,DF44507016976_00020,"[14, 19, 19, 19, 1, 19, 19, 6]",DF4
21602,DF44507016988_00010,"[14, 19, 19, 19, 19, 19, 19, 19, 19]",DF4
21603,DF44507016990_00030,"[14, 9, 19, 19, 19, 19, 9, 6, 19, 19, 9, 6, 19]",DF4
21604,DF44507016991_00030,"[14, 19, 19, 19, 19, 19, 19, 19, 19, 1, 1, 19]",DF4
21605,DF44507017030_00010,"[14, 19, 19, 19, 19, 19, 19, 19]",DF4
21606,DF44507018825_00010,"[14, 19, 19, 19, 19, 6, 6, 19]",DF4
